date,location,dead person,hurt person,field3
102年08月10日 10時21分,新北市雙溪區臺2丙線道路前0.0公尺數19.1K處(附近),1,2,普通重型-機車;普通重型-機車;普通重型-機車
102年08月10日 12時40分,新北市土城區國道三號42公里700公尺處北向交流道車道,1,0,自用-大貨車
102年08月10日 16時12分,新北市板橋區莒光路136號前0.0公尺數,1,1,普通重型-機車;普通重型-機車
102年08月20日 10時17分,新北市五股區無名路前0.0公尺數無名路(口)1號越堤道往堤內(附近),1,0,普通重型-機車
102年08月22日 11時21分,新北市汐止區新台五路前0.0公尺數茄苳路(口),1,1,自用-小客車;普通重型-機車;普通重型-機車
102年08月23日 02時59分,新北市新莊區思源路前0.0公尺數頭前路(口),1,0,腳踏自行車-慢車;計程車-小客車
102年08月25日 06時21分,新北市新莊區新莊路340號前0.0公尺數,1,0,普通重型-機車;行人-人
102年08月25日 11時07分,新北市瑞芳區大埔路頂埔巷17-號前0.0公尺數,1,1,普通重型-機車;普通重型-機車
102年08月28日 09時00分,新北市坪林區北宜公路前0.0公尺數54.1K處(附近),1,0,普通重型-機車;營業用-大貨車
102年09月02日 07時59分,新北市中和區新北環快道路前0.0公尺數秀朗橋道路(口),1,0,營業用-曳引車;普通重型-機車
102年09月03日 11時50分,新北市三重區忠孝橋機車道路前0.0公尺數往北市方向(附近),1,1,普通重型-機車;普通重型-機車
102年09月09日 14時00分,新北市林口區西濱快速道路前0.0公尺數北上15K處(附近),1,1,營業用-曳引車;其他人-人;其他人-人;自用-小貨車
102年09月11日 04時58分,新北市八里區華富山路前0.0公尺數華富山幹39號旁(附近),1,0,普通重型-機車
102年09月15日 04時52分,新北市汐止區新台五路一段前0.0公尺數仁愛路(口),1,0,自用-小客車;行人-人
102年09月15日 23時45分,新北市五股區登林路105號前0.0公尺數,1,0,腳踏自行車-慢車
102年09月19日 00時50分,新北市土城區國道三號42公里0公尺處南向交流道車道,1,0,普通重型-機車
102年09月19日 07時20分,新北市鶯歌區中山路前0.0公尺數中山高架橋往鶯歌(附近),1,0,普通重型-機車
102年09月19日 11時02分,新北市三重區疏洪一路前0.0公尺數疏洪十二路(口),1,0,普通重型-機車;自用-小客車
102年09月20日 03時32分,新北市三重區新北環快道路前0.0公尺數正義南路段往龍門(附近),2,0,其他人-人;自用-小客車;其他人-人
102年09月27日 11時11分,新北市淡水區民權路前0.0公尺數自強路(口),1,0,營業用-半聯結車;普通重型-機車
102年10月01日 16時00分,新北市深坑區無名路前0.0公尺數無名路(口)炮子崙路段1.5(附近),1,1,普通輕型-機車;普通輕型-機車
102年10月01日 17時42分,新北市土城區擺接堡路前0.0公尺數路燈73256號(附近),1,0,營業用-大貨車;普通重型-機車
102年10月02日 10時06分,新北市板橋區中山路前0.0公尺數板新路(口),1,0,行人-人;營業用-曳引車
102年10月05日 07時20分,新北市石碇區106乙線道路前0.0公尺數6.6公里處(附近),1,0,自用-小貨車
102年10月13日 17時29分,新北市五股區疏洪一路前0.0公尺數1K+00處(附近),1,1,自用-小貨車;普通重型-機車;普通重型-機車;自用-小貨車
102年10月15日 18時45分,新北市樹林區鎮前街97巷前0.0公尺數口。(附近),1,0,普通重型-機車;自用-小客車
102年10月16日 20時26分,新北市三峽區建安路前0.0公尺數雲森橋(110縣(附近),1,0,自用-小客車;腳踏自行車-慢車
102年10月20日 05時27分,新北市蘆洲區三民路前0.0公尺數得勝街(口),1,4,自用-小貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
102年10月20日 16時45分,新北市深坑區文山路前0.0公尺數烏月路(口)烏月路一號路口(附近),1,0,自用-小客車;行人-人
